Total number of files  : 1739
Total number of chunks : 1
Total size of Files    :      47390085921 Bytes | 44,135 GB
Total size of Slices   :        145445665 Bytes | 138,708 MB
Total size Downloaded  :       2702040760 Bytes | 2,516 GB

Compression Method      : Deflate
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: 1, Chunk Language: , Chunk Tags: main
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
A21BC602A697245E4635DE88A1D6A48F273AAC5A | CB4AD8AE65ED819AF7003FBA246AAC967CA6FEA6 |   10891088 |  3145728 |  2234617 | agcp.dll
4E7E79625B8A6CC2D68D635B215F7ECAD05D7476 | 7265BF954E6DC104896428577D03A5721FE5285A |   10891088 |  3145728 |  3130410 | agcp.dll
B14190AF8D71A809EC99F2A3F7719FF9A6B4CD03 | 33436645627FE090EFE1B3F8D4C329F225CDDFA7 |   10891088 |  3145728 |  2649633 | agcp.dll
7F090862CAC3B72701C87F3A560C742FA68F5086 | 282562D0135A144774C3A1387E9759371D13BB98 |   10891088 |  1453904 |  1109617 | agcp.dll
A43471DFE3FE70F7E612A01890935F8085C77D0F | 3C852CDF29B727F2647656A760BE06C6334560E6 |     119120 |   119120 |    62281 | amd_ags_x64.dll
A02C198CDD06947C7304EBB5FE37DF7486F0C842 | EFF2D4FF97E2B8D7ED0E456CB53B74199118A2E2 |      12224 |    12224 |     6290 | api-ms-win-core-console-l1-1-0.dll
AF8032F5DFCA0568CDB1C7672D1A960CC9E4A45B | 60CF810B7AD8F460D0B8783CE5E5BBCD61C82F1A |      11712 |    11712 |     6116 | api-ms-win-core-datetime-l1-1-0.dll
7247F89EC8408E2136EC509E1FBC8FE59D26285D | C1A4CE4DED47740D3518CD1FF9E9CE277D959335 |      11720 |    11720 |     6139 | api-ms-win-core-debug-l1-1-0.dll
54919BE7BD05E7C8528B8CDBBB383B6ECC7B7B0E | B0BA0C4CF1D8B2B94532AA1880310F28E87756EC |      11720 |    11720 |     6183 | api-ms-win-core-errorhandling-l1-1-0.dll
4FA22677F9850946465F89E31D993E427AA80405 | 04B3F21CBBA6D59A61CD839AE3192EA111856F65 |      15304 |    15304 |     7242 | api-ms-win-core-file-l1-1-0.dll
FC24CD7B2A736B5CA7FFD264EBA8D53FC22B2857 | BBCAD0148FF008E984A75937AADDF1EF6FDA5E0C |      11712 |    11712 |     6151 | api-ms-win-core-file-l1-2-0.dll
5A0A41D7054B8E9512127EF08AE6C60D7F672FBF | 89B28107C39BB216DA00507FFD8ADB7838D883F6 |      11720 |    11720 |     6282 | api-ms-win-core-file-l2-1-0.dll
04A468CFE1A91566047C6619285679ACB3DEAF87 | 3094832B393416F212DB9107ADD80A6E93A37947 |      11720 |    11720 |     6160 | api-ms-win-core-handle-l1-1-0.dll
DBC23004CCEB35B617D5F84CB51C45FC376E455E | 5005454BA8E13BAC64189C7A8416ECC1E3834DC6 |      12232 |    12232 |     6328 | api-ms-win-core-heap-l1-1-0.dll
39433047E09A7241BA87591FC9AE34AD86DE5055 | 29CD67219B65339B637A1716A78221915CEB4370 |      11712 |    11712 |     6167 | api-ms-win-core-interlocked-l1-1-0.dll
4295D227A97405D1C05D552A753ED11066F0DA90 | 132C9ADE61D574AA318E835EB78C4CCCDDEFDEA2 |      12736 |    12736 |     6479 | api-ms-win-core-libraryloader-l1-1-0.dll
8B6930A8D8EC5C835DDCCE96A7FFA12F1071EECF | 9B43A40A7B498E02F96107E1524FE2F4112D36AE |      14280 |    14280 |     7025 | api-ms-win-core-localization-l1-2-0.dll
4EF3B50777D55B2EC30F946EF337DB6A44EC325D | C6251ABFF887789F1F4FC6B9D85705788379D149 |      12224 |    12224 |     6314 | api-ms-win-core-memory-l1-1-0.dll
177D6C4C249731B0936171B135EE81E339A7369B | 71E0036364FD49E3E535093E665F15E05A3BDE8F |      11720 |    11720 |     6256 | api-ms-win-core-namedpipe-l1-1-0.dll
9E2CE16B59AAC1EEBA59CD4A57587AFBA8089697 | 3E0189D2A1968D7F54E721B1C8949487EF11B871 |      12744 |    12744 |     6406 | api-ms-win-core-processenvironment-l1-1-0.dll
C7E55D9853BB0AE82C172E52E1ACD57DE33BD69D | 7922932D87D3E32CE708F071C02FB86D33562530 |      14272 |    14272 |     6912 | api-ms-win-core-processthreads-l1-1-0.dll
90BA074616CB0F65C659A7CDC443A70E147314AA | 0913AB720BD692ABCDB18A2609DF6A7F85D96DB3 |      12232 |    12232 |     6359 | api-ms-win-core-processthreads-l1-1-1.dll
2CB2168C600EDD8F5ED902539824DB627F2921F6 | 5427D57D0354A103D4BB8B655C31E3189192FC6A |      11200 |    11200 |     6100 | api-ms-win-core-profile-l1-1-0.dll
9772A31AE2EBDB2A8FDF2C51FC825A74EB48D036 | D28266C7EDE971DC875360EB1F5EA8571693603E |      12224 |    12224 |     6331 | api-ms-win-core-rtlsupport-l1-1-0.dll
7D2B17B38CC9E670291047B0592A1738B77498B9 | 0FEB824D22B6BEEB97BCE58225688CB84AC809C7 |      11720 |    11720 |     6204 | api-ms-win-core-string-l1-1-0.dll
F6EF6DF2C27FC50980D578A5C05B45BCAE39CF8E | 15B55097E54028D1466E46FEBCA1DBB8DBEFEA4F |      13760 |    13760 |     6734 | api-ms-win-core-synch-l1-1-0.dll
CB84056890D35A2C3D2EAD33D6C6588D513DFEB3 | 7F17FBDCEF12042D215828C1D6675E483A4C62B1 |      12232 |    12232 |     6390 | api-ms-win-core-synch-l1-2-0.dll
754F045913E843918892D2CB0E8D885BA0F1E898 | 07CE4B878C25B2D9D1C48C462F1623AE3821FCEF |      12744 |    12744 |     6446 | api-ms-win-core-sysinfo-l1-1-0.dll
D8B46E5BECDD54E8F038F6F3C407E16A787E30B8 | EEE1747B3ADE5A9B985467512215CAF7E0D4CB9B |      12232 |    12232 |     6314 | api-ms-win-core-timezone-l1-1-0.dll
16CF83BEEAB8442BA4050DF4FD20BF33C0556219 | E51FFBDDBF63DDE1B216DCCC753AD810E91ABC58 |      11720 |    11720 |     6140 | api-ms-win-core-util-l1-1-0.dll
657BD308F63CBEA8A0E7AB38BEB68ED3A0F33C0E | CF23D59674286D3DC7A3B10CD8689490F583F15F |      12744 |    12744 |     6477 | api-ms-win-crt-conio-l1-1-0.dll
7360F9C4337C71429876B0FCFDBDA781568990C3 | DF22928E43EA6A9A41C1B2B5BFCAB5BA58D2A83A |      15816 |    15816 |     7549 | api-ms-win-crt-convert-l1-1-0.dll
9B15F2751C6C62D8F57077779E082374C7E44545 | FDB5954EE91583A5A4CBB0054FB8B3BF6235EED3 |      12232 |    12232 |     6314 | api-ms-win-crt-environment-l1-1-0.dll
5C0353E58C9CF9B3D4FCFFE5DC99B6EF2F5DCC78 | 3613A572B462845D6478A92A94769885DA0843AF |      13768 |    13768 |     6941 | api-ms-win-crt-filesystem-l1-1-0.dll
B3E0803F72C25423164AED85630C39252A5EA9AB | F0E98E2D594054E8A836BD9C6F68C3FE5048F870 |      12744 |    12744 |     6458 | api-ms-win-crt-heap-l1-1-0.dll
6CB029FAE4FB7DE4488B15A3F46400FA6BA27EF2 | 663154C1437ACF66480518068FBC756F5CABB72F |      12232 |    12232 |     6412 | api-ms-win-crt-locale-l1-1-0.dll
5202FBB3D75F24F741D09154CBBCD952D6AC53E2 | 15C6D65837C9979AF7EC143E034923884C3B0DBD |      20928 |    20928 |     9395 | api-ms-win-crt-math-l1-1-0.dll
7549680C589388EB7953B1899D2A3CE654360E51 | 3FAE25B81DC65923C1911649ED19F193ADC7BDDE |      19904 |    19904 |     8585 | api-ms-win-crt-multibyte-l1-1-0.dll
27034342319FD65F0E6BF500F33EF08D00124A37 | E43DD814E90330880EE75259809EEE7B91B4FFA6 |      64456 |    64456 |    21010 | api-ms-win-crt-private-l1-1-0.dll
3275F51EAA90B596B5C68F93A9533F1C1D2D0D65 | 2914B84226F5996161EB3646E62973B1E6C9E596 |      12736 |    12736 |     6507 | api-ms-win-crt-process-l1-1-0.dll
22A1FC1EEFB2BB32D1A64F96EE97B6A9495110B7 | E4FA6254623A2B4CDEA61712CDFA9C91AA905F18 |      16328 |    16328 |     7724 | api-ms-win-crt-runtime-l1-1-0.dll
F7CDC2970698446CCE77538DFFE92D2E8F091E06 | 492BB8C231AAE9D5F5AF565ABB208A706FB2B130 |      17864 |    17864 |     8151 | api-ms-win-crt-stdio-l1-1-0.dll
93C8FC8C9FC94BF4617791B0F68CD4A9F9700DA2 | EAE814C9C41E3D333F43890ED7DAFA3575E4C50E |      18368 |    18368 |     8331 | api-ms-win-crt-string-l1-1-0.dll
385341F0C005D5E1F1B3FE5E64B5B083A4FDDE25 | 906AC1F3A933DD57798AE826BBEFA3096C20D424 |      14280 |    14280 |     7020 | api-ms-win-crt-time-l1-1-0.dll
D7D5FB1DEFE0B9C29073BDE0D6447471F0B936CB | 117D66360C84A0088626E22D8B3B4B685CB70D56 |      12224 |    12224 |     6461 | api-ms-win-crt-utility-l1-1-0.dll
C7ADAD1BC1C7F0BD9C996D61E55C3E6AAD4C800B | 64999561056FCC1D5CAD6E39E65FED6B1391CC7D |     414928 |   414928 |   211375 | bink2w64.dll
77260D3FDDADE86C3D9F43DD9EB509AF7D0B48D0 | 22CD76C11C9538833906297EEE6D460FC638DCA7 |    1771344 |  1771344 |   608512 | d3d12_dl.dll
